;PROCED;LATITUD;LONGITUD;REGION;PUERTO;ANO_REG;MES_REG;DIA_REG;FUNCION;EMBARC;CAPTURA_1;UNIDAD_1;CAPTURA_2;UNIDAD_2;DESTINO;ANO_ZAR;MES_ZAR;DIA_ZAR;HOR_ZAR;ANO_ARR;MES_ARR;DIA_ARR;HOR_ARR;PROF;HOR_BUC;ESFUERZO;CPUE;N_BUZOS;POLIGONO
149;8193;-41.771389;-73.721389;10;942;2019;3;4;E;614997;117;3;117;3;1;2019;3;4;1130;2019;3;4;1343;30;50;1;140.4;1;2
150;8193;-41.771389;-73.721389;10;942;2019;6;8;E;614364;500;1;102;3;2;2019;6;8;830;2019;6;8;1058;15;100;1;102;1;2
151;8193;-41.771389;-73.721389;10;942;2019;2;20;E;615044;240;1;58;3;2;2019;2;20;710;2019;2;20;912;20;25;0;139.2;1;2
152;8193;-41.771389;-73.721389;10;942;2019;2;21;E;616601;400;1;97;3;2;2019;2;21;730;2019;2;21;930;25;100;1;97;1;2
153;8193;-41.771389;-73.721389;10;942;2019;2;23;E;610928;400;1;97;3;2;2019;2;23;815;2019;2;23;1102;28;30;1;194;1;2
154;8193;-41.771389;-73.721389;10;942;2019;6;8;E;608838;180;1;37;3;2;2019;6;8;830;2019;6;8;1110;25;100;1;37;1;2
155;8193;-41.771389;-73.721389;10;942;2019;2;24;E;614319;170;3;170;3;1;2019;2;24;930;2019;2;24;1158;25;100;2;85;2;2
156;8193;-41.771389;-73.721389;10;942;2019;3;23;E;619362;80;3;80;3;1;2019;3;23;800;2019;3;23;1002;15;50;1;96;1;2
157;8193;-41.771389;-73.721389;10;942;2019;2;21;E;610929;150;1;36;3;2;2019;2;21;730;2019;2;21;942;30;20;0;108;1;2
158;8193;-41.771389;-73.721389;10;942;2019;3;20;E;617622;90;3;90;3;1;2019;3;20;1130;2019;3;20;1335;18;40;1;135;1;2
159;8193;-41.771389;-73.721389;10;942;2019;2;23;E;614997;400;1;97;3;2;2019;2;23;900;2019;2;23;1135;30;45;1;129.3;1;2
160;8193;-41.771389;-73.721389;10;942;2019;3;12;E;614319;800;1;194;3;2;2019;3;12;915;2019;3;12;1121;27;35;1;166.3;2;2
161;8193;-41.771389;-73.721389;10;942;2019;3;22;E;610928;8;3;8;3;1;2019;3;22;750;2019;3;22;905;28;35;1;13.7;1;2
162;8193;-41.771389;-73.721389;10;942;2019;3;19;E;614997;200;1;48;3;2;2019;3;19;1130;2019;3;19;1406;32;50;1;57.6;1;2
163;8193;-41.771389;-73.721389;10;942;2019;3;4;E;609386;500;1;121;3;2;2019;3;4;1100;2019;3;4;1411;40;40;1;181.5;1;2
164;8193;-41.771389;-73.721389;10;942;2019;3;18;E;614997;300;1;73;3;2;2019;3;18;1030;2019;3;18;1253;30;35;1;125.1;1;2
165;8193;-41.771389;-73.721389;10;942;2019;3;7;E;615044;34;3;34;3;1;2019;3;7;1200;2019;3;7;1426;32;40;1;51;1;2
166;8193;-41.771389;-73.721389;10;942;2019;6;8;E;610928;63;3;63;3;1;2019;6;8;800;2019;6;8;1046;32;40;1;94.5;1;2
167;8193;-41.771389;-73.721389;10;942;2019;2;12;E;610929;150;1;36;3;2;2019;2;12;1100;2019;2;12;1257;25;20;0;108;1;2
168;8193;-41.771389;-73.721389;10;942;2019;4;24;E;615092;105;3;105;3;1;2019;4;24;830;2019;4;24;1050;15;50;1;126;1;2
169;8193;-41.771389;-73.721389;10;942;2019;3;7;E;615005;40;3;40;3;1;2019;3;7;1230;2019;3;7;1457;20;40;1;60;1;2
170;8194;-41.805278;-73.729167;10;942;2019;5;14;E;617622;159;3;159;3;1;2019;5;14;1400;2019;5;14;1615;20;50;2;95.4;2;2
171;8194;-41.805278;-73.729167;10;942;2019;3;27;E;617622;345;3;345;3;1;2019;3;27;1015;2019;3;27;1308;12;115;3;138;2;2
172;8194;-41.805278;-73.729167;10;942;2019;7;6;E;614288;123;3;123;3;1;2019;7;6;800;2019;7;6;959;15;30;1;123;2;2
173;8194;-41.805278;-73.729167;10;942;2019;5;23;E;614072;178;3;178;3;1;2019;5;23;800;2019;5;23;1004;20;100;1;178;1;2
174;8194;-41.805278;-73.729167;10;942;2019;5;16;E;614369;100;3;100;3;1;2019;5;16;930;2019;5;16;1135;20;45;1;133.3;1;2
175;8194;-41.805278;-73.729167;10;942;2019;5;2;E;615090;150;3;150;3;1;2019;5;2;1000;2019;5;2;1214;23;45;2;100;2;2
176;8194;-41.805278;-73.729167;10;942;2019;3;13;E;614319;900;1;218;3;2;2019;3;13;1000;2019;3;13;1210;30;50;2;130.8;2;2
177;8194;-41.805278;-73.729167;10;942;2019;5;14;E;614369;75;3;75;3;1;2019;5;14;830;2019;5;14;1040;19;100;1;75;1;2
